,author_id
0,625810721
1,1388943902
2,4044862769
3,1199651738803986432
4,1261823515
5,191100531
6,57701105
7,4096590033
8,1324133324
9,2798754771
10,2354880002
11,800765605
12,52408507
13,1336263108369788928
14,44201157
15,134398560
16,150993071
17,137428581
18,2173714329
19,460409077
20,69513730
21,2416005648
22,389580215
23,2161166076
24,518018668
25,865453626
26,1524903979
27,2209517618
28,532090459
29,50294505
30,43512158
31,2385923180
32,43419971
33,2929414877
34,41168720
35,1147503968
36,3293907976
37,2583230956
38,1262422213
39,1581456156
40,78424743
41,256075190
42,976042457371725824
43,114264408
44,2716954026
45,781730004875051008
46,1450077429779869696
47,365944742
48,4512947967
49,111586052
50,752408900763324416
51,96009219
52,103882469
53,1086302042732273664
54,1530802429
55,3307257503
56,177774582
57,92972044
58,80676829
59,202086424
60,181121893
61,370112160
62,117029568
63,118739645
64,3242182113
65,2858025183
66,2919694493
67,897947522
68,1107063220307746816
69,939053934232195072
70,138048156
71,955239446
72,1186367483546165248
73,375146901
74,1193947151971311616
75,323177351
76,466781777
77,87795577
78,58919878
79,61552404
80,1614572052
81,2279602543
82,88203872
83,3537549496
84,834344635774464000
85,779992056
86,941260467946835968
87,101576198
88,1420353350
89,3380008071
90,291740186
91,941899796
92,4008009335
93,1139785801
94,3025432383
95,114159548
96,3595706777
97,3401329131
98,603672164
99,509272614
100,368843103
101,426773410
102,308367619
103,725240852549894144
104,2461849153
105,1262921364
106,1334767101400260608
